id,ancestor_list,origin_time,destruction_time,num_orgs,tot_orgs,num_offspring,total_offspring,depth,sequence
25065291,[25063905],99438,99505,0,1,1,128,5935,xwtjagcvvlnvonvyhytwybvlvavallwmamyvzvdtiamxcamatctcpcialzphmvwdviokypzocecweijltlclnbedcnvzkoqnvzalczvvvvfcjvvgaxx
13860371,[13857087],56087,56135,0,1,1,3600,3458,xwzjagcyhaoybjcbojsamxkabkaxsvtbnbaspabrxdcmmfvcvdcdmdbscickavvqbvvsakqpvjtpsxqbvayqfvdvvyxwfysobazvvvvfcajvvgabnd
25195477,[25191163],99934,99958,0,1,2,6,5984,xwtjagcvqlnanvybyjayqvrvkodzlkcusrvbvfdmamjiciaryodviylzcpavokvffkuprscocsimokctatbsbvlnzvnptucvprsnzvvvvfcjvvgaiy
25097396,[25095493],99562,99602,0,1,1,15,5960,xwjjagcvujnltluyyaybmbubbbnwojjjavvvbjvyzwjrkntmcwduvuvnmmvwvtsbkibupclpcvfcsmljctmvrbtbknvszudmyqyzvvvvfcjvvgabpxgjjagc
13846389,[13840211],56033,56073,0,1,1,3600,3454,xwzjagcyhaoybjcbojsamxkabkaxsvtbnbaspabrxdcmmfvcvdcdmdbscickavvqbvvsakqpvjtpsxqbvaydfvdvvyxwfysobazvvvvfcajvvgabnd
13827782,[13823995],55961,55986,0,1,1,3600,3449,xwzjagcyhaoybjcbojsahxkabkaxsvtbnbaspabrxdcmmfvcvdcdmdbscickavvqbvvsakqpvjtpsxqbvaydfvdvvyxwfysobazvvvvfcajvvgabnd
13831442,[13827782],55974,55982,0,1,1,3600,3450,xwzjagcyhaoybjcbojsamxkabkaxsvtbnbaspabrxdcmmfvcvdcdmdbscickavvqbvvsakqpvjtpsxqbvaydfvdvvyxwfysobazvvvvfcajvvgabnd
13823995,[13821002],55946,55966,0,1,1,3600,3448,xwzjagcyhaoybjcbojsahzkabkaxsvtbnbaspabrxdcmmfvcvdcdmdbscickavvqbvvsakqpvjtpsxqbvaydfvdvvyxwfysobazvvvvfcajvvgabnd
13791899,[13785707],55820,55867,0,1,1,3600,3441,xwzjagcyhaoyqjcbojsahzkabkaxsvtbnbaspabrxdcmmfvcvdcdmdbscickavvqbvvsakdpvjtpsxqbvaydfvdvvyxwfydobazvvvvfcajvvgabnd
13797429,[13791899],55842,55867,0,1,1,3600,3442,xwzjagcyhaoyqjcbojsahzkabkaxsvtbnbaspabrxdcmmfvcvdcdmdbscickavvqbvvsakdpvjtpsxqbvaydfvdvvyxwfydobazvvvvfcajvvgabnd
13767510,[13763769],55725,55828,0,1,1,3600,3437,xwzjagcyhaoyqjcbojsahzkabkaxsvtbnbaspabrxdcmmfvcvdcdmdbscickavvqbvvsakdpvjtpsxqbvaydfvdvvyxwfydobazvvvvfcajvvgabnd
13785707,[13783773],55796,55827,0,1,1,3600,3440,xwzjagcyhaoyqjcbojsahzkabkaxsvtbnbaspabrxdcmmfvcvdcdmdbscickavvqbvvsakdpvjtpsxqbvaydfvdvvyxwfydobazvvvvfcajvvgabnd
13782026,[13767510],55781,55803,0,1,1,3600,3438,xwzjagcyhaoyqjcbojsahzkabkaxsvtbnbaspabrxdcmmfvcvdcdmdbscickavvqbvvsakdpvjtpsxqbvaydfvdvvyxwfydobazvvvvfcajvvgabnd
25185871,[25182029],99897,99927,0,1,1,5,5954,xwpjagcvxfhmavybynaoecfvbvkmuwjzmxvvvvzssousethawuqwucjziuzskrszwadkrvcpsvvrtwmmjbjxfahiovsxbubybqyzvvvvfcjvvgahqxwpjagc
